# A b Om H0
1.317535695360848580e+00 2.604934808819061942e+01 1.248919143871229376e-01 7.042424320312564134e+01
1.512225299020547142e+00 2.618112425448907743e+01 1.247955082251676201e-01 7.000588249546774477e+01
1.524092937088361577e+00 2.622580320773727536e+01 1.223204703466015536e-01 7.011114853990228823e+01
1.473344501677662732e+00 2.579584382403836074e+01 1.259298743638777862e-01 7.003805897502208211e+01
1.644377763623543265e+00 2.629502180968480829e+01 1.275839263576969973e-01 6.943159600040821999e+01
1.435005032380197054e+00 2.633127849430460898e+01 1.271709426771537865e-01 7.012307246587494092e+01
1.523707820288358494e+00 2.621128717757797233e+01 1.236183911638107508e-01 6.993718411591299855e+01
1.583108816646430661e+00 2.662430853016882537e+01 1.242595938393291494e-01 6.983718891069405288e+01
1.552333511026513291e+00 2.673002147128812211e+01 1.226385379718207269e-01 7.008161729017417940e+01
1.587619646316611011e+00 2.613709358800080196e+01 1.272968165628315385e-01 6.976332114300778642e+01
1.443607184435492297e+00 2.618528921394257836e+01 1.231866907365846142e-01 7.016650034739626562e+01
1.696878739033889083e+00 2.627851606034698051e+01 1.233163618481412926e-01 6.955538880706428984e+01
1.572986796641788310e+00 2.622225120125481368e+01 1.219058464030633032e-01 6.991874653171372245e+01
1.706432854839577296e+00 2.663169981763986982e+01 1.238579416413076728e-01 6.970363430016308826e+01
1.611386997326989867e+00 2.620625554534263912e+01 1.210291402831831231e-01 6.994810139840076602e+01
1.535893067819398050e+00 2.606082146502372510e+01 1.258057264473215753e-01 6.987159885366999390e+01
1.376032205366244598e+00 2.642672258379781169e+01 1.298976070209205136e-01 7.009700607612040812e+01
1.418070020840370926e+00 2.627617953919586924e+01 1.269810226573424017e-01 7.021265677912916203e+01
1.568192120387900346e+00 2.647792279305308583e+01 1.244864140172676908e-01 6.993385761786669264e+01
1.541007980581500236e+00 2.635191762787030711e+01 1.251312034391274808e-01 6.998752275511894538e+01
1.317535695360848580e+00 2.604934808819061942e+01 1.248919143871229376e-01 7.042424320312564134e+01
1.514371050299121668e+00 2.617987112527843863e+01 1.248666963945216923e-01 6.999897910879698770e+01
