# A b Om H0
1.660257669053040841e+00 2.689614501754158127e+01 2.625160129960148470e-01 6.981133794500209433e+01
1.277231853008748530e+00 2.803613229310560584e+01 2.730019942850052672e-01 7.060903321944248034e+01
1.153787790056906903e+00 2.669857845277247321e+01 2.773440428494577392e-01 7.058311136860319834e+01
1.652836289608625719e+00 2.874445147538785861e+01 2.631737116578326541e-01 6.982804014674741211e+01
1.496497257179634888e+00 2.690988884669390302e+01 2.615785830979457938e-01 6.992368435085475653e+01
1.755568482111765860e+00 2.712374638190849296e+01 2.605257673714522215e-01 6.969821604401259663e+01
1.464000717163468579e+00 2.771351232990286562e+01 2.758873020297019640e-01 6.994080042727006230e+01
1.375249636008669674e+00 2.657729483670899029e+01 2.710659111267996746e-01 7.024132733885510049e+01
1.433789822611165610e+00 2.623656301015991588e+01 2.728431459667379211e-01 7.021617395336716072e+01
1.377718032739633003e+00 2.691439922618122438e+01 2.756157020870275143e-01 7.025679231470182629e+01
1.687242455457284240e+00 2.853004765256453368e+01 2.655153467164529935e-01 6.985341091994220619e+01
1.425781450853673471e+00 2.678041063741125782e+01 2.661237553714957960e-01 7.005885959943113050e+01
1.595614598067385925e+00 2.788335154683974437e+01 2.634354068750224820e-01 7.026741655345043114e+01
1.392465816648074561e+00 2.746165155124105439e+01 2.639321294503300663e-01 7.020390006392010207e+01
1.424055657007037734e+00 2.705813066783735721e+01 2.684962197473097500e-01 6.999678077415116206e+01
1.623107903473357094e+00 2.964470376968014165e+01 2.672004328948265339e-01 7.018955673818034313e+01
1.660257669053040841e+00 2.689614501754158127e+01 2.625160129960148470e-01 6.981133794500209433e+01
1.268890113233524852e+00 2.805204344308393516e+01 2.732195679182113923e-01 7.062491701214823081e+01
1.185073347793840215e+00 2.672873102701353076e+01 2.771025743275452591e-01 7.053752094955490293e+01
1.657878592120506145e+00 2.877197969465059657e+01 2.628342323540287517e-01 6.982502921274617336e+01
1.480371109170703248e+00 2.690050813530632112e+01 2.623824461691904308e-01 6.995547002801571068e+01
1.755568482111765860e+00 2.712374638190849296e+01 2.605257673714522215e-01 6.969821604401259663e+01
1.464000717163468579e+00 2.771351232990286562e+01 2.758873020297019640e-01 6.994080042727006230e+01
1.321003000743450340e+00 2.689303614521502794e+01 2.694190251884712728e-01 7.026463588307814234e+01
1.433789822611165610e+00 2.623656301015991588e+01 2.728431459667379211e-01 7.021617395336716072e+01
1.377718032739633003e+00 2.691439922618122438e+01 2.756157020870275143e-01 7.025679231470182629e+01
1.687242455457284240e+00 2.853004765256453368e+01 2.655153467164529935e-01 6.985341091994220619e+01
1.425781450853673471e+00 2.678041063741125782e+01 2.661237553714957960e-01 7.005885959943113050e+01
1.595614598067385925e+00 2.788335154683974437e+01 2.634354068750224820e-01 7.026741655345043114e+01
1.319725165621068896e+00 2.769197233082011778e+01 2.666023705387513543e-01 7.038405864848246551e+01
1.348976496625223120e+00 2.695464581766352552e+01 2.712000093205196305e-01 7.016666078948657059e+01
1.620734224642214727e+00 2.961024862246601330e+01 2.671874813284695338e-01 7.018798455651173640e+01
1.674463468712398928e+00 2.690114991670010625e+01 2.620799426992391212e-01 6.978962845288045003e+01
1.268890113233524852e+00 2.805204344308393516e+01 2.732195679182113923e-01 7.062491701214823081e+01
1.185073347793840215e+00 2.672873102701353076e+01 2.771025743275452591e-01 7.053752094955490293e+01
1.659267397981202929e+00 2.877972584153736690e+01 2.628070858372907326e-01 6.982321688696245587e+01
1.533071232650414117e+00 2.701644864791985512e+01 2.587706364782005886e-01 6.985565912338495309e+01
1.755568482111765860e+00 2.712374638190849296e+01 2.605257673714522215e-01 6.969821604401259663e+01
1.464000717163468579e+00 2.771351232990286562e+01 2.758873020297019640e-01 6.994080042727006230e+01
1.151210623043911863e+00 2.594600910915769276e+01 2.727378991604578196e-01 7.048620688352707475e+01
1.433789822611165610e+00 2.623656301015991588e+01 2.728431459667379211e-01 7.021617395336716072e+01
1.377718032739633003e+00 2.691439922618122438e+01 2.756157020870275143e-01 7.025679231470182629e+01
1.681610546535151185e+00 2.781216572068688464e+01 2.640013078554750425e-01 6.982530094123325171e+01
1.425781450853673471e+00 2.678041063741125782e+01 2.661237553714957960e-01 7.005885959943113050e+01
1.568595198294494786e+00 2.750884026440340335e+01 2.614201763967745618e-01 7.008953295959159391e+01
1.319725165621068896e+00 2.769197233082011778e+01 2.666023705387513543e-01 7.038405864848246551e+01
1.348976496625223120e+00 2.695464581766352552e+01 2.712000093205196305e-01 7.016666078948657059e+01
1.620734224642214727e+00 2.961024862246601330e+01 2.671874813284695338e-01 7.018798455651173640e+01
1.675045003596091986e+00 2.697527636148673480e+01 2.622362780422105577e-01 6.979253100926499087e+01
1.266913366152703002e+00 2.805562621612073926e+01 2.732973924661022957e-01 7.062844821303791321e+01
1.187026255633247152e+00 2.673328139299016470e+01 2.769598555831723208e-01 7.053232570063410378e+01
1.746916405285356078e+00 3.000440248062159654e+01 2.656105844890157552e-01 6.980068427030406042e+01
1.533071232650414117e+00 2.701644864791985512e+01 2.587706364782005886e-01 6.985565912338495309e+01
1.678919882127894780e+00 2.708678313354663203e+01 2.599211382082519672e-01 6.975245398016801346e+01
1.506392079122500283e+00 2.763056027050480523e+01 2.700238840693991449e-01 7.000108061169802909e+01
1.071621759715453592e+00 2.572290396553025360e+01 2.756490100022813694e-01 7.061762808341394759e+01
1.446383439191791798e+00 2.592904364184382260e+01 2.721045379647938911e-01 7.021423016439453590e+01
1.402975220550318092e+00 2.698901461133390711e+01 2.746504037558845090e-01 7.022093009972893185e+01
1.613588852675984509e+00 2.761121441430698553e+01 2.666010124645524781e-01 6.992188368933180698e+01
1.418532277629266369e+00 2.727270117748757627e+01 2.600413671080148981e-01 6.991645874231544155e+01
1.561109525260948150e+00 2.720713812340999738e+01 2.605921563506097272e-01 7.007539812594012574e+01
1.319725165621068896e+00 2.769197233082011778e+01 2.666023705387513543e-01 7.038405864848246551e+01
1.348976496625223120e+00 2.695464581766352552e+01 2.712000093205196305e-01 7.016666078948657059e+01
1.531424229565001127e+00 2.857778403007309720e+01 2.640311347389426855e-01 7.006805510238211809e+01
1.734947724231491684e+00 2.697906644141404442e+01 2.605895324070569008e-01 6.972379885259584853e+01
1.273886091214860405e+00 2.800211859122258673e+01 2.732014171651128698e-01 7.060559031264875784e+01
1.324713969685780146e+00 2.683223133653317305e+01 2.721904869242240954e-01 7.031402900260530942e+01
1.610701118573514279e+00 2.896046728034244566e+01 2.675238510134543835e-01 6.992595845217262251e+01
1.533071232650414117e+00 2.701644864791985512e+01 2.587706364782005886e-01 6.985565912338495309e+01
1.678919882127894780e+00 2.708678313354663203e+01 2.599211382082519672e-01 6.975245398016801346e+01
1.518223757952062769e+00 2.735821386804775557e+01 2.650332905279172979e-01 6.993658904741968740e+01
1.152546531668494412e+00 2.600486036920978350e+01 2.742979922986553687e-01 7.051374178264032366e+01
1.446383439191791798e+00 2.592904364184382260e+01 2.721045379647938911e-01 7.021423016439453590e+01
1.373765734583564102e+00 2.723565749535367075e+01 2.718266348885173267e-01 7.027816611067983388e+01
